dzid,prompt,A,B,C,D,E,answer
441,What can be said about Edwin Purcell Meachen based on the provided Wikipedia excerpt?,Edwin Purcell Meachen was a member of the Green Party.,Edwin Purcell Meachen was a politician from Australia.,Edwin Purcell Meachen was a politician from Canada.,Edwin Purcell Meachen was a member of the National Party.,Edwin Purcell Meachen was a member of the Labour Party.,E
442,Which club does Nguyễn Văn Quyết currently play for in the V.League 1?,Quảng Nam,Sài Gòn,Sông Lam Nghệ An,Hải Phòng,Hà Nội,E
443,"What is the proposed name for the postcode of Kampong Serambangun in Brunei's Tutong District, according to the provided Wikipedia excerpt?",Pekan Tutong,Kampong Serambangun,TA2541,Brunei,Mukim,C
444,Which of the following statements accurately describes the relationship between proteins and the human body based on the provided Wikipedia excerpt?,"The human body contains a limited number of proteins, with most of the information about them preserved. The list of proteins in the human body remains constant over time.","The human body contains a vast number of proteins, with most of the information about them lost. The list of proteins in the human body changes constantly.","The human body contains a limited number of proteins, with most of the information about them lost. The list of proteins in the human body remains constant over time.","The human body contains a vast number of proteins, with most of the information about them preserved. The list of proteins in the human body remains constant over time.","The human body contains a limited number of proteins, with most of the information about them preserved. The list of proteins in the human body changes constantly.",D
445,Who was Etsuko Sugimoto?,Etsuko Sugimoto was a Japanese American autobiographer and novelist.,Etsuko Sugimoto was a Japanese American politician who served as a senator for California.,Etsuko Sugimoto was a Japanese American actress known for her roles in popular TV dramas.,Etsuko Sugimoto was a Japanese American artist known for her abstract paintings.,Etsuko Sugimoto was a Japanese American sociologist known for her research on gender and education.,A
446,Which of the following towns is located to the south of Granisle?,Topley,Houston,Babine Lake,None of the above,Burns Lake,E
447,What was the original purpose of the Society of Independent Brewers (SIB)?,The SIB was created to address the issue of large brewers owning the majority of UK pubs.,The SIB was formed to advocate for the reduction of taxes on beer production.,The SIB was founded to promote the consumption of craft beer in the UK.,The SIB was established to create a unified voice for small breweries in the UK.,The SIB was initially formed to provide financial support to struggling breweries.,A
448,What is the city in which Nogometni klub Slaven Živinice is based?,Sarajevo,Živinice,Zenica,Mostar,Tuzla,B
449,"When and where was the live album ""Sonny Boy Williamson & the Yardbirds"" recorded?","On December 8, 1963, at the Marquee Club in London","In 1966, at a music festival in Woodstock","In 1963, at a secret location in Chicago","In 1966, after a string of Top 40 hits by the Yardbirds","On December 8, 1963, at the Crawdaddy Club in Richmond, Surrey",E
450,"What was the peak position of the album ""Rockin' My Life Away"" by George Thorogood and the Destroyers on the Billboard Top Blues Album chart?",#1,#5,#7,#10,#3,B
451,What is the primary purpose of the 1st Division (IFF) of the Iraqi Army based in Camp Fallujah?,"The 1st Division (IFF) is a reconnaissance division, gathering intelligence and conducting surveillance missions to gather information about enemy activities.","The 1st Division (IFF) is a motorized infantry division, primarily focused on ground combat operations and maintaining security in the assigned area of Camp Fallujah.","The 1st Division (IFF) primarily serves as a naval division, responsible for protecting Iraq's coastlines and conducting maritime surveillance.","The 1st Division (IFF) focuses on providing logistical support to other divisions within the Iraqi Army, ensuring they have the necessary supplies and equipment.","The 1st Division (IFF) specializes in aerial operations, conducting air strikes and providing air support to ground forces in various military campaigns.",B
452,Who was the eighth-year head coach of the 2022–23 Wisconsin Badgers men's basketball team?,Brad Underwood,Greg Gard,Tom Izzo,Bo Ryan,John Beilein,B
453,"What awards did the film ""Facing the Wall"" win?",Best screenplay award at the International Student Film Festival.,Best cinematography award at the International Student Film Festival.,Best picture award at the 2016 Jerusalem Film Festival.,Best actor award at the 2016 Jerusalem Film Festival.,Best director award at the International Student Film Festival.,C
454,What is Jongens?,Jongens is a 2014 Dutch science fiction film.,Jongens is a 2014 Dutch made-for-television coming-of-age romantic drama film.,Jongens is a 2014 Dutch horror film directed by Mischa Kamp.,"Jongens is a 2014 American comedy film featuring Gijs Blom, Ko Zandvliet and Stijn Taverne.",Jongens is a 2014 documentary film exploring the history of Dutch cinema.,B
455,What is the Royal Horticultural Society's Award of Garden Merit given to?,A large plant that grows up to 1.7 m (5.6 ft) tall and wide.,A long-lasting perennial or subshrub with vivid flowers.,A species of flowering plant from Sicily and southern Italy.,A plant that is hardy down to −10 °C (14 °F).,A plant that can survive drought conditions.,B
456,"What is the largest settlement in Podilsk Raion, Odesa Oblast, Ukraine?",Lviv,Odessa,Chernobyl,Lypetske,Kyiv,D
457,What is the primary work for which the Canadian cartoonist Seth is best known?,"Seth is best known for his series Calvin and Hobbes and his mock-autobiographical graphic novel It's a Good Life, If You Don't Weaken (1996).","Seth is best known for his series Palookaville and his mock-autobiographical graphic novel It's a Good Life, If You Don't Weaken (1996).","Seth is best known for his series Peanuts and his mock-autobiographical graphic novel It's a Good Life, If You Don't Weaken (1996).","Seth is best known for his series The Walking Dead and his mock-autobiographical graphic novel It's a Good Life, If You Don't Weaken (1996).","Seth is best known for his series Archie Comics and his mock-autobiographical graphic novel It's a Good Life, If You Don't Weaken (1996).",B
458,How many described species are there in the genus Apocephalus?,Approximately 300 described species in Apocephalus.,Approximately 200 described species in Apocephalus.,Approximately 500 described species in Apocephalus.,Approximately 400 described species in Apocephalus.,Approximately 100 described species in Apocephalus.,A
459,"When was the song ""Superstar"" by Toy-Box released and distributed?","""Superstar"" was released on July 30, 2001 and distributed by Edel Records.","""Superstar"" was released on July 30, 2002 and distributed by Edel Records.","""Superstar"" was released on July 30, 2001 and manufactured in Germany.","""Superstar"" was released on July 30, 2002 and discontinued some time in 2002.","""Superstar"" was released on July 30, 2001 and discontinued some time in 2002.",A
460,Who succeeded Hazel Chu as Cathaoirleach of the Irish Green Party in December 2021?,Senator Catherine Martin,Hazel Chu was succeeded by a member of the Fianna Fáil party,There was no successor to Hazel Chu as Cathaoirleach,Hazel Chu's term as Cathaoirleach is ongoing,Senator Pauline O'Reilly,E
461,"Which of the following accurately describes the plot and cast of the film ""Cochin Shadhi at Chennai 03""?","The film is a 2020 Indian Malayalam-language film directed by Manjith Divakar, featuring R. K. Suresh, Akshatha Sreedhar Shastry, Neha Saxena, and Vinoth Kishan as main cast members. The story revolves around Shadika's journey to Chennai, where she encounters various difficulties along the way.","The film is a 2019 Tamil-language film directed by Manjith Divakar, featuring R. K. Suresh, Akshatha Sreedhar Shastry, Neha Saxena, and Vinoth Kishan as main cast members. The film follows the life of Shadika in Chennai, where she seeks to solve a mysterious crime spree in the city.","The film is a 2020 Indian Malayalam-language film directed by Manjith Divakar, featuring R. K. Suresh, Akshatha Sreedhar Shastry, Neha Saxena, and Vinoth Kishan as leading cast members. It is a comedy-drama that showcases the humorous incidents that occur during Shadika's travel to Chennai.","The film is a 2020 Indian Malayalam-language film directed by Manjith Divakar, starring R. K. Suresh, Akshatha Sreedhar Shastry, Neha Saxena, and Vinoth Kishan as supporting cast members. It depicts a romantic love story set in the backdrop of Chennai.","The film is a 2019 Tamil-language film directed by Manjith Divakar, featuring R. K. Suresh, Akshatha Sreedhar Shastry, Neha Saxena, and Vinoth Kishan as main cast members. The story revolves around the lives of four friends as they navigate through various challenges in Chennai.",A
